task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
469	00/0f629b	1202362	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_1)	COMPLETED	0	2024-11-07 17:54:48.628	4.6s	35ms	90.7%	1.5 MB	3.9 MB	1.7 MB	1.4 MB
470	11/dd67f7	1202363	NFCORE_HIC:HIC:COOLER:SPLIT_COOLER_DUMP (MJ21_1)	COMPLETED	0	2024-11-07 17:54:48.651	4.6s	42ms	67.7%	1.5 MB	3.9 MB	814.3 KB	592 KB
374	fd/bfcab2	1202266	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_7)	COMPLETED	0	2024-11-07 17:54:33.198	24.9s	22s	159.9%	194.2 MB	8.3 GB	126.3 MB	61.3 KB
380	4f/b35b5b	1202272	NFCORE_HIC:HIC:TADS:COOLTOOLS_INSULATION (MJ21_7)	COMPLETED	0	2024-11-07 17:54:33.580	24.5s	23s	164.0%	192.7 MB	8.3 GB	126.3 MB	72.9 KB
435	42/33ecbf	1202327	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_4)	COMPLETED	0	2024-11-07 17:54:43.787	14.3s	8.7s	198.9%	1.1 GB	104.9 GB	59.7 MB	4.8 MB
456	5d/d62fd4	1202345	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.190	9.9s	5.5s	366.6%	102.4 MB	8.2 GB	40.9 MB	114.7 KB
440	06/088414	1202329	NFCORE_HIC:HIC:COOLER:COOLER_ZOOMIFY (MJ21_3)	COMPLETED	0	2024-11-07 17:54:43.837	14.3s	8.8s	186.4%	606.3 MB	104.9 GB	57.1 MB	4 MB
453	38/2a6146	1202346	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.218	9.9s	5.1s	343.5%	97.9 MB	8.2 GB	40.9 MB	40.9 KB
452	fd/9c2beb	1202347	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.248	9.9s	5.5s	317.0%	124.2 MB	8.2 GB	41 MB	264.1 KB
455	2f/e6c325	1202348	NFCORE_HIC:HIC:COOLER:COOLER_DUMP (MJ21_2)	COMPLETED	0	2024-11-07 17:54:48.271	9.9s	5.3s	347.7%	92.4 MB	8.2 GB	41 MB	966.9 KB
